reference	book	chapter	count	min_confidence	surfaces	pages	confirmed
Mt 2	Matthäus	2	6	1.0	Matthei am 2. (3) | Matth. am 2. (2) | Matthei am 2. Cap. (1)	druck_1608_bern:550,552; druck_1608_zuerich:552,554; druck_1701:491,493	
Mt 20	Matthäus	20	6	1.0	"Matth. am 20. (3) | Mathei am xx (1) | Matth.
am xx. (1) | Matth. am xx. (1)"	a_v_1447_schlussredaktion:357; druck_1528:216; druck_1528_04:251; druck_1608_bern:250; druck_1608_zuerich:252; druck_1701:222	
Num 16	Numeri	16	6	1.0	Numeri 16. (4) | Numeri am 16. (2)	druck_1608_bern:453,454; druck_1608_zuerich:455,456; druck_1701:406,407	
Phil 1	Philipper	1	6	1.0	Philip. am 1. cap. (2) | Philip. am 1. (2) | Philip. am 1. Cap. (1) | Philip am I. (1)	druck_1608_bern:225,244; druck_1608_zuerich:227,246; druck_1701:199,216	
Röm 2	Römer	2	6	0.909	"zun Römern am 2. (3) | Romanos
ii. (1) | zun Roͤmern am 2. Cap. (1) | zun Römern am 2. Cap. (1)"	a_v_1447_schlussredaktion:679; druck_1608_bern:508; druck_1608_zuerich:510; druck_1701:223,256,454	
Röm 4	Römer	4	6	0.909	Rom. 4. (3) | Romern am iiii. (1) | zun Römern am 4. (1) | Rom 4. (1)	a_v_1447_schlussredaktion:335; druck_1608_zuerich:720,740; druck_1701:229,558,578	
1 Kor 15	1 Korinther	15	5	1.0	"zun Corint. am
xv. cap. (1) | zun Corinth.
am xv. (1) | zun Corinth.
am 15.cap. (1) | zum Corinth.
am 15.cap. (1) | zun Corinth. am 15. Cap. (1)"	druck_1528:340; druck_1528_04:393; druck_1608_bern:60; druck_1608_zuerich:62; druck_1701:351	
1 Kor 2	1 Korinther	2	5	1.0	"Corinth. 2. cap. (2) | zun Corinth. am 2. (2) | zun Corinth.
am 2. (1)"	druck_1608_bern:120,189; druck_1608_zuerich:122,191; druck_1701:166	
1 Kor 9	1 Korinther	9	5	1.0	Corinth 9. (2) | Corinth. 9. (2) | Corinth. ix. (1)	druck_1528_04:509; druck_1608_bern:511; druck_1608_zuerich:513,779; druck_1701:618	
1 Sam 19	1 Samuel	19	5	0.857	Reg. 19. (5)	druck_1608_bern:224; druck_1608_zuerich:226,760; druck_1701:199,598	
Apg 18	Apostelgeschichte	18	5	0.857	Actorum. 18. (2) | Act. 18. (2) | Act. am 18. (1)	druck_1608_bern:550; druck_1608_zuerich:552,744; druck_1701:491,582	
Ex 25	Exodus	25	5	1.0	"Exodi am 25. (2) | Exodi am xxv. (1) | Exodi am xxv capit. (1) | Exod. am
25. (1)"	druck_1528:461; druck_1528_04:528; druck_1608_bern:531; druck_1608_zuerich:533; druck_1701:474	
Ex 29	Exodus	29	5	1.0	Exodi am 29. (3) | Exodi. am xxix. (1) | Exod.xxix. (1)	druck_1528:374; druck_1528_04:431; druck_1608_bern:430; druck_1608_zuerich:432; druck_1701:385	
Gen 3	Genesis	3	5	1.0	Geneſis am 3. Capit. (2) | Gen. 3. (2) | Geneſis am 3. Capitel. (1)	druck_1608_bern:396; druck_1608_zuerich:398,727; druck_1701:355,564	
Jes 53	Jesaja	53	5	0.857	Eſaie 53. (2) | Eſaie am 53. (1) | Jeſa. 53. (1) | Jesa. 53. (1)	druck_1608_bern:418; druck_1608_zuerich:420; druck_1701:375,551,575	
Jes 64	Jesaja	64	5	1.0	"Eſaie am 64. Cap. (3) | Esaie
64. (1) | Eſa. 64. (1)"	druck_1528_04:499; druck_1608_bern:502; druck_1608_zuerich:504; druck_1701:448,587	
Joel 2	Joel	2	5	0.889	Johel. 2. Capit. (2) | Joel am 2. cap. (1) | Johel am 2. Cap. (1) | Joel am 2. Capitel. (1)	druck_1608_bern:521; druck_1608_zuerich:523,810; druck_1701:465,650	
Joh 3	Johannes	3	5	0.875	"Johannis am 3.
cap. (2) | Johannis am 3. (2) | Johannis am 3. Cap. (1)"	druck_1608_bern:350,496; druck_1608_zuerich:352,498; druck_1701:313	
Mt 11	Matthäus	11	5	0.889	Matthei am 11. (2) | Matt. 11. (2) | Matth. 11. (1)	druck_1608_bern:463; druck_1608_zuerich:465,693; druck_1701:531,550	
Mt 9	Matthäus	9	5	0.889	Matthei am ix. (2) | Matt.am 9. (2) | Matthei am 9. (1)	druck_1528:162; druck_1528_04:193; druck_1608_bern:192; druck_1608_zuerich:194; druck_1701:168	
Ps 109	Psalmen	109	5	1.0	Psalmo. 109. (2) | Psalmo.cix. (1) | Pſalmo.cix. (1) | Pſalmo 109. (1)	druck_1528:361; druck_1528_04:417; druck_1608_bern:414; druck_1608_zuerich:416; druck_1701:372	
Ps 18	Psalmen	18	5	1.0	"Pſalm. 18. (2) | Pſal.
18. (2) | Pſalm 18. (1)"	druck_1608_bern:464,525; druck_1608_zuerich:466,527; druck_1701:469	
Ps 49	Psalmen	49	5	1.0	"Pſalmo. 49. (2) | Pſalmo.
xlix. (1) | Pſalmo. xlix. (1) | Psalm 49. (1)"	druck_1528:476; druck_1528_04:547; druck_1608_bern:550; druck_1608_zuerich:552; druck_1701:490	
Ps 75	Psalmen	75	5	1.0	Pſalm. 75. (2) | Pſalm. lxxv. (1) | Pſal. lxxv. (1) | Psalm 75. (1)	druck_1528:476; druck_1528_04:547; druck_1608_bern:550; druck_1608_zuerich:552; druck_1701:490	
Apg 11	Apostelgeschichte	11	4	1.0	Actuum 11. (2) | Actuum am xi. (1) | Actorum 11. (1)	a_v_1447_schlussredaktion:281; druck_1608_bern:193; druck_1608_zuerich:195,607	
Apg 21	Apostelgeschichte	21	4	1.0	Actorum. 21. (2) | Actorum 21. (1) | Actorum am 21. (1)	druck_1608_bern:551; druck_1608_zuerich:553,602; druck_1701:492	
Dtn 9	Deuteronomium	9	4	1.0	Deut. am 9. (2) | Deut. am ix. (1) | Deut.am 9. (1)	druck_1528_04:238; druck_1608_bern:236; druck_1608_zuerich:238; druck_1701:209	
Ex 28	Exodus	28	4	1.0	Exodi 28. (2) | Exodi. xxviii. (1) | Exodi am 28. (1)	a_v_1447_schlussredaktion:615; druck_1608_bern:456; druck_1608_zuerich:458; druck_1701:409	
Ez 34	Ezechiel	34	4	0.889	Ezech. 34. (2) | zech. 34. (1) | Ezech. 34 (1)	druck_1608_zuerich:753,776; druck_1701:591,615	
Gen 1	Genesis	1	4	1.0	"Geneſis.
1. (2) | Geneſis I. (1) | gen.

1. (1)"	druck_1608_bern:537; druck_1608_zuerich:539; druck_1701:479,565	
Gen 2	Genesis	2	4	0.857	Geneſis 2. Capit. (2) | generis ii cap (1) | Geneſis am 2. Cap. (1)	a_v_1447_schlussredaktion:506; druck_1608_bern:367; druck_1608_zuerich:369; druck_1701:328	
Hebr 3	Hebräer	3	4	0.941	"zun Hebreern am 3. (3) | zum Hebrehern
am iii (1)"	a_v_1447_schlussredaktion:265; druck_1608_bern:183; druck_1608_zuerich:185; druck_1701:160	
